Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
нарушать,8015,violate,V,B2,LM,1,нарушает,Imperf.Sing.3,Этот водитель всё время нарушает правила дорожного движения.,This driver is constantly violating traffic regulations.,_,"общение, политика",,
нарушать,8016,violate,V,B2,LM,2,нарушать,Imperf.Inf,С детства нас учат не нарушать закон.,"From childhood, we are taught not to break the law.",_,"общение, политика",,
нарушать,8017,violate,V,B2,LM,3,нарушая,Imperf.Gerund,"Бизнесмен богател, не нарушая при этом закон.",The businessman got rich without breaking the law. ,_,"общение, политика",,
насмотреться,8018,see enough,V,B2,LM,1,насмотрелся,Perf.Masc.Sing.Past,"Насмотрелся я на эту заграницу, больше никуда не поеду","I have seen enough of the world abroad, I'm not going to travel anymore.",,мера,,
насмотреться,8019,see enough,V,B2,LM,2,насмотрелись,Perf.Plur.Past,"Наши родители в детстве насмотрелись индийских фильмов, поэтому сейчас их не любят. ","Our parents watched too many Indian films during their childhood, so they don't like them anymore.",_,мера,,
насмотреться,8020,see enough,V,B2,LM,3,насмотрелась,Perf.Fem.Sing.Past,За годы работы в школе Мария Ивановна насмотрелась всякого.,During the years that she worked in a school Maria Ivanovna saw all kinds of things.,_,мера,,
настойчивый,8021,persistеnt,A,B2,LM,1,настойчивые,Nom.Plur,Мои настойчивые попытки дозвониться привели к положительному результату.,My persistent attempts to get through on the phone led to a positive result.,_,общение,,
настойчивый,8022,persistеnt,A,B2,LM,2,настойчивых,Gen.Plur,Лишь после настойчивых уговоров девушка согласилась выйти замуж. ,Only after persistent persuasion did the girl agree to get married.,_,общение,,
настойчивый,8023,persistеnt,A,B2,LM,3,настойчивым,Ins.Neut.Sing,"С каждым днём Александр становился более настойчивым, более упорным.","Every day Alexander became more persistent, more obstinate.",_,общение,,
настольный,8024,table-top,A,B2,"Golosa, LM",1,настольную,Acc.Fem.Sing,"Вероника зажгла настольную лампу и села, взяв карандаш.","Veronica lit the desk lamp, sat down, and picked up a pencil.",_,жильё,,
настольный,8025,table-top,A,B2,"Golosa, LM",2,настольной,Gen.Fem.Sing,Свет от настольной лампы падал на разбросанные книги и тетради,The light from the desk lamp fell on the scattered books and notebooks,_,жильё,,
настольный,8026,table-top,A,B2,"Golosa, LM",3,настольных,Gen.Plur,"Эра настольных компьютеров заканчивается, приходит время мобильных устройств. ","The era of desktop computers is ending, the time for mobile devices is coming.",_,жильё,,
наступление,8027,beginning,N.Neut.Inan,B2,LM,1,наступления,Gen.Sing,Дети должны вернуться домой до наступления темноты.,The children are supposed to come back home before dark.,_,время,,
наступление,8028,beginning,N.Neut.Inan,B2,LM,2,наступлением,Ins.Sing,С наступлением холодов люди стремятся уехать в тёплые края. ,"When cold weather comes, people tend to travel to warmer places.",_,время,,
наступление,8029,beginning,N.Neut.Inan,B2,LM,3,наступлении,Loc.Sing,Необходимо сообщить о наступлении страхового случая в страховую компанию. ,"When a loss occurs that is covered by insurance, it is necessary to report the event to the insurance company.",_,время,,
натуральный,8030,natural,A,B2,LM,1,натуральных,Gen.Plur,Сегодня на уроке мы узнаем свойства натуральных чисел.,In today's lesson we will learn the properties of natural numbers.,_,животные/растения,,
натуральный,8031,natural,A,B2,LM,2,натурального,Gen.Masc.Sing,Молодых людей сегодня возмущает использование в одежде натурального меха. ,Young people today are outraged by the use of real fur in clothing.,_,животные/растения,,
натуральный,8032,natural,A,B2,LM,3,натуральным,Dat.Plur,Всё больше людей отдают предпочтение натуральным продуктам. ,More and more people prefer natural products.,_,животные/растения,,
натюрморт,8033,still-life painting,N.Masc.Inan,B2,LM,1,натюрморт,Nom.Sing,Этот натюрморт был написан в начале двадцатого века.,This still life was painted at the beginning of the twentieth century.,_,свободное время,,
наушник,8034,earphones,N.Masc.Inan,B2,LM,1,наушниках,Loc.Plur,В моих наушниках играет джаз.,There is jazz playing in my earphones.,_,одежда,,
наушник,8035,earphones,N.Masc.Inan,B2,LM,2,наушников,Gen.Plur,Без наушников Светлана чувствовала себя в толпе неуютно.,"Without her earphones, Svetlana felt uncomfortable in the crowd. ",_,одежда,,
наушник,8036,earphones,N.Masc.Inan,B2,LM,3,наушники,Nom.Plur,Галина надела на меня наушники и отошла подальше. ,Galina put headphones on me and stepped away.,_,одежда,,
находчивый,8037,resourceful,A,B2,LM,1,находчивый,Nom.Masc.Sing,"Он умный и находчивый парень, всегда находит выход из любой ситуации","He is a smart and resourceful fellow, he always finds a way out of any situation. ",_,"люди, описание",,
находчивый,8038,resourceful,A,B2,LM,2,находчивые,Nom.Plur,Находчивые производители всегда удивляют новыми товарами. ,Shrewd manufacturers are always surprising us with new products.,_,"люди, описание",,
национализм,8039,nationalism,N.Masc.Inan,B2,LM,1,национализм,Nom.Sing,Агрессивный национализм стал проблемой многих стран.,Aggressive nationalism has become a problem in many countries.,_,политика,,
национализм,8040,nationalism,N.Masc.Inan,B2,LM,2,национализма,Gen.Sing,Эксперты отмечают рост национализма в странах бывшего СССР.,Experts note the growth of nationalism in the countries of the former USSR.,_,политика,,
националист,8041,nationalist,N.Masc.Anim,B2,LM,1,националиста,Gen.Sing,Сторонников главного украинского националиста Степана Бандеры посадили в тюрьму. ,Supporters of the foremost Ukrainian nationalist Stepan Bandera were sent to prison.,_,"люди, политика",,
националистический,8042,nationalistic,A,B2,LM,1,националистическим,Ins.Masc.Sing,К власти пришла партия с найионалистическим уклоном. ,A party with a nationalistic bias came to power.,_,политика,,
нация,8043,nation,N.Fem.Inan,B2,LM,1,нации,Gen.Sing,Политики призывают к единству нации.,Politicians call for unity of the nation.,_,"люди, политика",,
нация,8044,nation,N.Fem.Inan,B2,LM,2,нация,Nom.Sing,"Жаль, что великая нация не сумела сохранить свои традиции.",It is a pity that this great nation was not able to maintain its traditions.,_,"люди, политика",,
нация,8045,nation,N.Fem.Inan,B2,LM,3,нацию,Acc.Sing,Государство стремится создать единую нацию.,The state is trying to create a single nation.,_,"люди, политика",,
начальник,8046,boss,N.Masc.Anim,B2,LM,1,начальник,Nom.Sing,Начальник отдела продаж выступил с докладом.,The head of sales department made a presentation.,_,"учёба/работа, люди",,
начальник,8047,boss,N.Masc.Anim,B2,LM,2,начальника,Gen.Sing,"Начальника департамента нет в офисе, он в командировке. ","The head of the department is not in the office, he is on a business trip.",_,"учёба/работа, люди",,
начальник,8048,boss,N.Masc.Anim,B2,LM,3,начальником,Ins.Sing,Петров стал начальником совсем недавно.,Petrov became the boss just recently.,_,"учёба/работа, люди",,
начальный,8049,initial,A,B2,LM,1,начальной,Gen.Fem.Sing,Ученики выходят из начальной школы с базовыми знаниями по разным предметам. ,Pupils leave primary school with basic knowledge in various subjects.,_,учёба/работа,,
начальный,8050,initial,A,B2,LM,2,начальных,Gen.Plur,Учителя начальных классов требуют повышения заработной платы. ,Primary school teachers are demanding higher wages.,_,учёба/работа,,
начальный,8051,initial,A,B2,LM,3,начальном,Loc.Masc.Sing,На начальном этапе все сотрудники были довольны своими ролями. ,"In the initial stage, all the employees were happy with their roles.",_,учёба/работа,,
небольшой,8052,not large,A,B2,LM,1,небольшая,Nom.Fem.Sing,У меня к тебе есть небольшая просьба.,I have a small favor to ask you.,_,мера,,
небольшой,8053,not large,A,B2,LM,2,небольшой,Nom.Masc.Sing,Электросталь ― небольшой промышленный город.,Elektrostal is a small industrial city.,_,мера,,
небольшой,8054,not large,A,B2,LM,3,небольшие,Nom.Plur,"На сайте авиакомпании произошли небольшие изменения, что привело к ошибкам.","Minor changes were made on the airline’s website, and this led to errors.",_,мера,,
невеселый,8055,unhappy,A,B2,LM,1,невесёлые,Inan.Acc.Plur,"После поражения в игре Виталий шел домой, погружённый в невесёлые мысли.","After losing the game, Vitali went home deep in gloomy thoughts.",_,внутренний мир,,
невеселый,8056,unhappy,A,B2,LM,2,невесёлом,Loc.Neut.Sing,При каждом невесёлом воспоминании Тамара начинает плакать. ,"With every sad memory, Tamara begins to cry.",_,внутренний мир,,
невеселый,8057,unhappy,A,B2,LM,3,невеселый,Nom.Plur,"Несмотря на праздничный костюм, вид у Руслана был невесёлый.","Despite his festive outfit, Ruslan looked unhappy.",_,внутренний мир,,
невнимательный,8058,inattentive,A,B2,LM,1,невнимательная,Nom.Fem.Sing,"Инна, ты опять допустила ошибку в отчёте - ты такая невнимательная!","Инна, you made a mistake in the report again - you are so careless!",_,"внутренний мир, учёба/работа",,
невнимательный,8059,inattentive,A,B2,LM,2,невнимателен,Masc.Sing,"У Коли плохие оценки в школе, потому что он невнимателен на уроках. ","Kolya has bad grades in school, because he doesn't pay attention in class.",_,"внутренний мир, учёба/работа",,
невысокий,8060,not tall,A,B2,LM,1,невысокий,Nom.Masc.Sing,"Был он невысокий, загорелый, мускулистый и очень активный. ","He was short, tanned, muscular and very active.",_,"мера, описание",,
невысокий,8061,not tall,A,B2,LM,2,невысок,Masc.Sing,Пушкин был невысок ростом.,Pushkin was not tall.,_,"мера, описание",,
невысокий,8062,not tall,A,B2,LM,3,невысокой,Loc.Fem.Sing,Продукты в нашем магазине отличаются хорошим качеством при невысокой стоимости. ,The products in our shop are of exceptionally good quality at low cost.,_,"мера, описание",,
негромкий,8063,not loud,A,B2,LM,1,негромким,Ins.Masc.Sing,"Юра негромким голосом поет под гитару, и все внимательно слушают.","Yura sings in a low voice to the music of the guitar, and everyone listens attentively.",_,мера,,
недобрый,8064,unkind,A,B2,LM,1,недобрым,Ins.Neut.Sing,"В пути нам много раз приходилось вспоминать недобрым словом людей, построивших плохие дороги. ",During our journey we often thought ill of the people who built those bad roads. ,_,"внутренний мир, общение",,
недобрый,8065,unkind,A,B2,LM,2,недоброму,Dat.Neut.Sing,"По недоброму выражению глаз Александра мы поняли, что лучше больше не задавать ему вопросов. ","From the unkind expression in Alexander's eyes, we realized that it was better not to ask him any more questions.",_,"внутренний мир, общение",,
недобрый,8066,unkind,A,B2,LM,3,недобр,Masc.Sing,"Старый пёс был хитёр и недобр, его никто не любил.","The old dog was sly and mean, no one liked him.",_,"внутренний мир, общение",,
недорогой,8067,inexpensive,A,B2,"MiP, LM",1,недорогую,Acc.Fem.Sing,"Молодая пара сняла недорогую, но приличную гостиницу на берегу моря. ",A young couple checked into an inexpensive but decent hotel ar the seashore.,_,"мера, магазин",,
недорогой,8068,inexpensive,A,B2,"MiP, LM",2,недорогой,Loc.Fem.Sing,Нам легко принять решение о недорогой покупке.,It is easy for us to make a decision about an inexpensive purchase.,_,"мера, магазин",,
недорогой,8069,inexpensive,A,B2,"MiP, LM",3,недорогое,Nom.Neut.Sing,Для выхода из кризиса существует недорогое и надежное решение. ,"To overcome the crisis, there is an inexpensive and reliable solution.",_,"мера, магазин",,
недостаток,8070,disadvantage,N.Masc.Inan,B2,LM,1,недостаток,Nom.Sing,Серьёзный недостаток автомобиля заключается в слишком дорогом обслуживании.,A serious drawback of a car is its expensive maintenance.,_,описание,,
недостаток,8071,disadvantage,N.Masc.Inan,B2,LM,2,недостатки,Acc.Plur,Не каждый видит свои слабости и недостатки. ,Not everyone sees their own weaknesses and limitations.,_,описание,,
недостаток,8072,disadvantage,N.Masc.Inan,B2,LM,3,недостатком,Ins.Sing,Сто лет назад высокий рост у женщин считался недостатком.,"A hundred years ago, it was considered a disadvantage for a woman to be tall.",_,описание,,
неестественный,8073,unnatural,A,B2,LM,1,неестественным,Ins.Masc.Sing,От падения нога вывернулась неестественным образом.,The fall caused the leg to twist in an unnatural way.,_,описание,,
неестественный,8074,unnatural,A,B2,LM,2,неестественно,Adverb,"Чтобы скрыть шум в соседней комнате, Марина говорила неестественно громко.","To drown out the noise in the next room, Marina spoke unnaturally loudly.",_,описание,,
нежный,8075,tender,A,B2,LM,1,нежный,Nom.Masc.Sing,Никите нельзя рассказывать страшные истории - он очень нежный и ранимый мальчик. ,You shouldn't tell scary stories to Nikita - he is a very gentle and vulnerable boy.,_,"описание, внутренний мир",,
нежный,8076,tender,A,B2,LM,2,нежная,Nom.Fem.Sing,У тайских женщин очень нежная кожа и не бывает веснушек.,Thai women have very delicate skin and no freckles.,_,"описание, внутренний мир",,
нежный,8077,tender,A,B2,LM,3,нежными,Ins.Plur,В церковном хоре дети нежными голосами поют о любви к богу.,Сhildren sing in gentle voices about their love to God in the church choir.,_,"описание, внутренний мир",,
независимый,8078,independent,A,B2,LM,1,независимых,Gen.Plur,В 1992 году 12 бывших союзных республик образовали Содружество Независимых Государств.,"In 1992, 12 former Soviet republics formed the Commonwealth of Independent States.",_,"политика, внутренний мир",,
независимый,8079,independent,A,B2,LM,2,независимыми,Ins.Plur,Новое изобретение требует проверки независимымы экспертами. ,The new invention requires verification by independent experts.,_,"политика, внутренний мир",,
независимый,8080,independent,A,B2,LM,3,независимый,Nom.Masc.Sing,Александр Смирнов баллотируется как независимый кандидат. ,Alexander Smirnov is running as an independent candidate.,_,"политика, внутренний мир",,
неинтересный,8081,uninteresting,A,B2,LM,1,неинтересно,Adverb,Современным детям неинтересно читать книги о советских временах.,Modern children are not interested in reading books about the Soviet era.,_,внутренний мир,,
неинтересный,8082,uninteresting,A,B2,LM,2,неинтересны,Plur,Родителям неинтересны переживания детей.,The parents are not interested in their children's emotions.,_,внутренний мир,,
неинтересный,8083,uninteresting,A,B2,LM,3,неинтересную,Acc.Fem.Sing,Вячеслав мечтает бросить неинтересную работу и стать дизайнером.,Vyacheslav dreams of quitting his boring job and becoming a designer.,_,внутренний мир,,
немолодой,8084,middle-aged,A,B2,LM,1,немолодую,Acc.Fem.Sing,"Семён нагло рассматривает немолодую, но красивую женщину.",Semion is staring rudely at a middle-aged but still beautiful woman. ,_,мера,,
немолодой,8085,middle-aged,A,B2,LM,2,немолодой,Nom.Masc.Sing,Неожиданно в дом приезжает полковник американской армии ― немолодой серьёзный мужчина.,"Suddenly, an American army colonel - a middle-aged serious man - arrives at the house.",_,мера,,
немолодой,8086,middle-aged,A,B2,LM,3,немолодая,Nom.Fem.Sing,Министром здравоохранения стала немолодая и очень опытная женщина.,A middle-aged and very experienced woman became the Minister of Health.,_,мера,,
настаивать,8087,insist,V,B2,LM,1,настаивал,Imperf.Masc.Sing.Past,Адвокат настаивает на невиновности своего клиента.,The lawyer insists on the innocence of his client.,_,общение,,
настаивать,8088,insist,V,B2,LM,2,настаивать,Imperf.Inf,"Хоть Игорь и считал, что он прав, он не стал настаивать на своём.","Although Igor believed that he was right, he did not insist.",_,общение,,
настаивать,8089,insist,V,B2,LM,3,настаивали,Imperf.Plur.Past,"Врачи настаивали, что Чехову нужно больше отдыхать на море.",Doctors insisted that Chekhov needed more rest at the seashore.,_,общение,,
ненависть,8090,hatred,N.Fem.Inan,B2,LM,1,ненависти,Gen.Sing,Раньше Алиса ни к кому не чувствовала такой ненависти. ,Alice never felt such hatred towards anyone before.,_,внутренний мир,,
ненависть,8091,hatred,N.Fem.Inan,B2,LM,2,ненавистью,Ins.Sing,Военные с ненавистью и презрением смотрят на учёных. ,Military people regard scientists with hatred and contempt.,_,внутренний мир,,
ненависть,8092,hatred,N.Fem.Inan,B2,LM,3,ненависть,Nom.Sing,Ненависть заставляет нас вести себя глупо.,Hatred makes us act stupid.,_,внутренний мир,,
ненастоящий,8093,unreal,A,B2,LM,1,ненастоящим,Ins.Neut.Sing,В искусственном свете ламп всё казалось ненастоящим.,"In the artificial light of the lamps, everything looked fake.",_,описание,,
ненастоящий,8094,unreal,A,B2,LM,2,ненастоящий,Nom.Masc.Sing,"Мама объяснила сыну, что астролог - ненастоящий учёный. ",Mom explained to her son that an astrologer is a fake scientist.,_,описание,,
ненастоящий,8095,unreal,A,B2,LM,3,ненастоящее,Nom.Neut.Sing,На сцене театра всё ненастоящее. ,On theater stage everything is unreal. ,_,описание,,
необходимость,8096,necessity,N.Fem.Inan,B2,LM,1,необходимость,Nom.Sing,"Начальник попросил объяснить, есть ли необходимость в дополнительных расходах. ",The boss asked us to explain whether there is any need for additional costs. ,_,внутренний мир,,
необходимость,8097,necessity,N.Fem.Inan,B2,LM,2,необходимости,Gen.Sing,Денис мечтает купить машину и избавиться от необходимости ездить на автобусе. ,Denis dreams of buying a car and no longer needing to ride the bus.,_,внутренний мир,,
необходимость,8098,necessity,N.Fem.Inan,B2,LM,3,необходимостью,Ins.Sing,"Многие компании столкнулись с необходимостью расширения, чтобы остаться на рынке.",Many companies have faced the need to expand in order to remain on the market.,_,внутренний мир,,
необходимый,8099,necessary,A,B2,LM,1,необходимо,Adverb,"Чтобы выполнить задание, необходимо чётко следовать инструкциям. ","In order to complete the task, it is necessary to follow the instructions carefully.",_,внутренний мир,,
необходимый,8100,necessary,A,B2,LM,2,необходимы,Plur,Нашей стране необходимы изменения в законодательстве.,Our country needs changes in legislation.,_,внутренний мир,,
необходимый,8101,necessary,A,B2,LM,3,необходимым,Ins.Neut.Sing,Безопасность автомобиля является необходимым требованием. ,Car safety is a necessary requirement.,_,внутренний мир,,
необычный,8102,unusual,A,B2,LM,1,необычный,Nom.Masc.Sing,"Спасибо, мне очень понравился твой необычный подарок. ","Thank you, I really liked your unusual gift.",_,"описание, внутренний мир",,
необычный,8103,unusual,A,B2,LM,2,необычное,Inan.Acc.Neut.Sing,В его привычке смотреть всем в глаза было что-то необычное.,There was something unusual in his habit of looking everyone in the eyes.,_,"описание, внутренний мир",,
необычный,8104,unusual,A,B2,LM,3,необычные,Nom.Plur,Анатолию часто приходят в голову очень необычные идеи.,Anatoliy often comes up with very unusual ideas.,_,"описание, внутренний мир",,
неожиданный,8105,unexpected,A,B2,LM,1,неожиданное,Nom.Neut.Sing,Неожиданное препятстсвие не повлияло на успешное выполнение задания. ,An unexpected obstacle did not affect the successful completion of the task.,_,"описание, внутренний мир",,
неожиданный,8106,unexpected,A,B2,LM,2,неожиданным,Ins.Masc.Sing,Итог работы для многих оказался неожиданным.,The result of the work turned out to be unexpected for many people.,_,"описание, внутренний мир",,
неожиданный,8107,unexpected,A,B2,LM,3,неожиданные,Nom.Plur,"Неожиданные повороты судьбы могут испугать, но нужно верить в себя. ","Unexpected twists of fate can be scary, but you need to believe in yourself.",_,"описание, внутренний мир",,
неопределенный,8108,undefined,A,B2,LM,1,неопределённое,Inan.Acc.Neut.Sing,Специалист уехал в командировку на неопределённое время. ,The specialist went on a business trip for an indefinite period of time.,_,описание,,
неопределенный,8109,undefined,A,B2,LM,2,неопределённых,Gen.Plur,В комнату смело вошла рыжеволосая женщина неопределённых лет.,A red-haired woman of indefinite age boldly entered the room.,_,описание,,
неопределенный,8110,undefined,A,B2,LM,3,неопределённым,Ins.Neut.Sing,Солдаты слушали речь командира с неопределённым выражением лица. ,The soldiers listened to the commander's speech with an uncertain expression on their faces.,_,описание,,
неповторимый,8111,one of a kind,A,B2,LM,1,неповторимый,Nom.Masc.Sing,У картин художницы Александры есть свой неповторимый стиль.,The paintings of the artist Alexandra have their own unique style.,_,описание,,
неповторимый,8112,one of a kind,A,B2,LM,2,неповторимое,Nom.Neut.Sing,Радость от проделанной работы - неповторимое чувство.,The joy of the work that is completed is a unique feeling.,_,описание,,
неповторимый,8113,one of a kind,A,B2,LM,3,неповторимыми,Ins.Plur,Ученики лицея считают себя единственными и неповторимыми. ,The students at the vocational school consider themselves to be special and unique.,_,описание,,
неподвижный,8114,motionless,A,B2,LM,1,неподвижные,Inan.Acc.Plur,Кошки не обращают внимание на неподвижные объекты.,Cats do not pay attention to stationary objects.,_,описание,,
неподвижный,8115,motionless,A,B2,LM,2,неподвижны,Plur,"Алиса попыталась оттолкнуть охранников, но они остались неподвижны. ","Alice tried to push the guards away, but they remained motionless.",_,описание,,
неподвижный,8116,motionless,A,B2,LM,3,неподвижной,Ins.Fem.Sing,"Хоть вода в реке и казалась неподвижной, Игорь знал, что течение сильное. ","Although the water in the river seemed motionless, Igor knew that the current was strong.",_,описание,,
неправда,8117,untruth,N.Fem.Inan,B2,LM,1,неправда,Nom.Sing,Это неправда! - закричал Валера в ответ на обвинения учителя.,It is not true! - shouted Valera in response to the teacher’s accusations.,_,общение,,
неправда,8118,untruth,N.Fem.Inan,B2,LM,2,неправду,Acc.Sing,"Детектив должен понять, кто из подозреваемых говорит неправду. ",The detective must figure out which one of the suspects is lying.,_,общение,,
неприятный,8119,untruth,A,B2,LM,1,неприятно,Neut.Sing,"Состояние беспомощности, в котором оказалась Даша, было ей неприятно. ",The state of helplessness in which Dasha found herself was unpleasant for her.,_,внутренний мир,,
неприятный,8120,unpleasant,A,B2,LM,2,неприятное,Inan.Acc.Neut.Sing,"Елена испытала неприятное чувство невесомости, когда лифт поехал вниз. ",Elena experienced an unpleasant feeling of weightlessness when the elevator went down.,_,внутренний мир,,
неприятный,8121,unpleasant,A,B2,LM,3,неприятными,Ins.Plur,Нарушение правил безопасности грозит неприятными последствиями. ,There are unpleasant consequences for violation of the safety rules.,_,внутренний мир,,
неразговорчивый,8122,untalkative,A,B2,LM,1,неразговорчива,Fem.Sing,Из-за плохого настроения Анна вчера была неразговорчива.,"Because she was in a bad mood, Anna was not talkative yesterday.",_,"люди, общение",,
несерьезный,8123,unserious,A,B2,LM,1,несерьезно,Adverb,"Коллеги решили, что откладывать решение проблемы на завтра было бы несерьёзно.",Our colleagues decided that it was unrealistic to put off solving the problem until tomorrow.,_,"внутренний мир, общение",,
несерьезный,8124,unserious,A,B2,LM,2,несерьёзную,Acc.Fem.Sing,Адвокаты стараются придать делу несерьезную окраску.,The lawyers are trying to make the case look insubstantial.,_,"внутренний мир, общение",,
несерьезный,8125,unserious,A,B2,LM,3,несерьёзной,Gen.Fem.Sing,Самой несерьёзной ученицы опять нет в классе. ,The laziest student did not come to class again.,_,"внутренний мир, общение",,
восход,8126,sunrise,N.Masc.Inan,B2,LM,1,восходы,Nom.Plur,"Закаты на Урале так же прекрасны, как восходы в Альпах. ",Sunsets in the Urals are as beautiful as sunrises in the Alps.,_,"время, погода",,
восход,8127,sunrise,N.Masc.Inan,B2,LM,2,восход,Nom.Sing,"Завтра восход солнца будет чуть позже, чем сегодня. ",Tomorrow sunrise will be a bit later than today.,_,"время, погода",,
несмелый,8128,timid,A,B2,LM,1,несмелые,Nom.Plur,Из толпы раздались первые несмелые голоса. ,The first timid voices were heard from the crowd.,_,"внутренний мир, общение",,
несправедливость,8129,injustice,N.Fem.Inan,B2,LM,1,несправедливостью,Ins.Sing,Приезжие нередко сталкиваются с чудовищной социальной несправедливостью. ,Newcomers often encounter terrible social injustice.,_,"политика, общение",,
несправедливость,8130,injustice,N.Fem.Inan,B2,LM,2,несправедливости,Gen.Sing,Маша заплакала от зависти и острого чувства несправедливости.,Мasha cried because of envy and an acute feeling of injustice.,_,"политика, общение",,
несправедливость,8131,injustice,N.Fem.Inan,B2,LM,3,несправедливость,Acc.Sing,"Жители страны недовольны, потому что чувствуют обман и несправедливость.",The country's inhabitants are dissatisfied because they perceive deception and injustice.,_,"политика, общение",,
несправедливый,8132,unjust,A,B2,LM,1,несправедливым,Ins.Neut.Sing,"Если обвинение окажется несправедливым, оно будет снято. ","If the accusation is unfair, it will be dropped.",_,"политика, общение",,
несправедливый,8133,unjust,A,B2,LM,2,несправедливо,Neut.Sing,"Убеждение, что в Америке плохое образование, несправедливо. ",The belief that America has bad education is unfair.,_,"политика, общение",,
несправедливый,8134,unjust,A,B2,LM,3,несправедливые,Nom.Plur,В некоторых регионах до сих пор действуют несправедливые ограничения для женщин. ,"In some regions, unfair restrictions on women still apply.",_,"политика, общение",,
неуверенный,8135,unconfident,A,B2,LM,1,неуверенно,Adverb,Артём неуверенно произнёс первую строчку стихотворения и замолчал. ,Artyom recited the first line of the poem with difficulty and then fell silent.,_,внутренний мир,,
неуверенный,8136,unconfident,A,B2,LM,2,неуверенный,Nom.Masc.Sing,Артур - очень неуверенный в себе молодой человек. ,Arthur is a very insecure young man.,_,внутренний мир,,
неуверенный,8137,unconfident,A,B2,LM,3,неуверенная,Nom.Fem.Sing,"На лице Пети появилась неуверенная улыбка, когда он увидел старого друга. ",An indecisive smile appeared on Petya's face when he saw his old friend.,_,внутренний мир,,
неудача,8138,misfortune,N.Fem.Inan,B2,LM,1,неудачей,Ins.Sing,Переговоры между странами окончились неудачей. ,Negotiations between the countries ended in failure.,_,учёба/работа,,
неудача,8139,misfortune,N.Fem.Inan,B2,LM,2,неудачу,Acc.Sing,"Саша не занимается бизнесом, потому что боится потерпеть неудачу. ",Sasha is not running a business because he is afraid of failure.,_,учёба/работа,,
неудача,8140,misfortune,N.Fem.Inan,B2,LM,3,неудач,Gen.Plur,Полоса неудач наших спортсменов наконец-то закончилась. ,Our athletes have finally ended their losing streak.,_,учёба/работа,,
неудачный,8141,unfortunate,A,B2,LM,1,неудачным,Ins.Masc.Sing,Любой опыт может оказаться удачным или неудачным. ,Any experiment may turn out to be successful or unsuccessful.,_,"учёба/работа, внутренний мир",,
неудачный,8142,unfortunate,A,B2,LM,2,неудачными,Ins.Plur,Первые пять попыток были неудачными. ,The first five attempts were unsuccessful.,_,"учёба/работа, внутренний мир",,
неудачный,8143,unfortunate,A,B2,LM,3,неудачной,Gen.Fem.Sing,Оксана расплакалась из-за неудачной шутки брата. ,Oksana burst into tears because of her brother’s unfortunate joke.,_,"учёба/работа, внутренний мир",,
неудобный,8144,inconvenient,A,B2,LM,1,неудобно,Adverb,Из аэропорта неудобно добираться до центра города. ,Getting to the city center from the airport is inconvenient.,_,"внутренний мир, общение",,
